key,value,date,expansion
Account Hijacking,0.010873377762188706,2014-08-04,hack account
DDoS Activity,0.001578393546124167,2014-08-04,slow internet;ddos
Data Breach,0.01397170583421022,2014-08-04,security breach;data leak;data breach;#data breach;chang security breach;security breach scottsdale ariz.;p.f. chang security breach;pf chang security breach;p.f. chang data breach;pf chang data breach;p.f. chang;pf chang
Account Hijacking,0.018882263533263183,2014-08-05,hack account
DDoS Activity,0.007833508710394014,2014-08-05,ddos;malicious activity;slow internet;network infiltrate;vulnerability exploit;phishing attack
Data Breach,0.03945983865310417,2014-08-05,data security breach;security breach;data leak;data breach;hacker security breach;steal identity;p.f. chang data breach;p.f. chang security breach;pf chang data breach;pf chang security breach;p.f. chang;pf chang;p.f. chang breach;pf chang breach;tailing pond breach;breach pond;hacker steal;password steal
Account Hijacking,0.06775400444288554,2014-08-06,hacker steal password;password breach hacker steal;password hacker steal usernames;hacker steal password #yph;steal login password hacker;hacker steal internet password;password hacker;unauthorized access;hack account
DDoS Activity,0.006722787326084415,2014-08-06,vulnerability exploit;slow internet;phishing attack;ddos
Data Breach,0.08950075996726295,2014-08-06,steal identity;information steal;security breach;data leak;data breach;hacker data breach;breach staggering data;internet security breach;hacker steal;hacker steal usernames;hacker steal usernames/password;password steal;password steal
Account Hijacking,0.014965509178066175,2014-08-07,hack account
DDoS Activity,0.003975213375423828,2014-08-07,ddos;vulnerability exploit;slow internet
Data Breach,0.047351806383725006,2014-08-07,hacker steal;security breach;data leak;data breach;hacker data breach;breach staggering data;security breach internet;internet data breach;tailing breach;steal identity;password steal;computer breach
Account Hijacking,0.014439377996024787,2014-08-08,hack account;unauthorized access
DDoS Activity,0.0052028528001870685,2014-08-08,ddos;slow internet
Data Breach,0.03092482169998831,2014-08-08,hacker steal;information steal;password steal;internet security breach;security breach;data leak;data breach;steal identity
Account Hijacking,0.014439377996024787,2014-08-09,unauthorized access;hack account
DDoS Activity,0.0047936396585993215,2014-08-09,malicious activity;slow internet;ddos
Data Breach,0.007891967730620834,2014-08-09,password steal;security breach;data leak;hacker steal;hacker breach
Account Hijacking,0.014380918975797966,2014-08-10,unauthorized access;hack account;hack acct
DDoS Activity,0.002864491991114229,2014-08-10,ddos;malicious activity;slow internet
Data Breach,0.004267508476557933,2014-08-10,hacker steal;password steal;data breach;security breach;data breach cnet;data leak;ctos breach;steal identity
Account Hijacking,0.014848591137612534,2014-08-11,unauthorized access;hack account
DDoS Activity,0.0061381971238162044,2014-08-11,ddos;network infiltrate;vulnerability exploit;malicious activity;slow internet
Data Breach,0.008067344791301298,2014-08-11,hacker steal;cybervor breach;cybervor data breach;password steal;steal identity;security breach;data leak;data breach;information steal
Account Hijacking,0.012159476207178768,2014-08-12,hack account;unauthorized access
DDoS Activity,0.005085934759733427,2014-08-12,ddos;phishing attack;vulnerability exploit;slow internet
Data Breach,0.00467672161814568,2014-08-12,hacker steal;steal identity;security breach;data leak;password steal
Account Hijacking,0.012744066409446978,2014-08-13,hack fanne account;hack account
DDoS Activity,0.005085934759733427,2014-08-13,phishing attack;slow internet;vulnerability exploit;ddos;malicious activity
Data Breach,0.004033672395650649,2014-08-13,security breach;data leak;information steal;hacker steal;password steal;steal identity
Account Hijacking,0.5947620717876768,2014-08-14,hack account;account hack twitter;hack prime twitter account;pm twitter account hack;prime minister twitter account hack;dmitry medvedev twitter account hack;prime minister dmitry medvedev twitter account hack;unauthorized access
DDoS Activity,0.006605869285630773,2014-08-14,vulnerability exploit;malicious activity;ddos;slow internet
Data Breach,0.004735180638372501,2014-08-14,hacker steal;password steal;information steal;steal identity;security breach;data leak
Account Hijacking,0.016017771542148954,2014-08-15,account hack;hack acct;hack account
DDoS Activity,0.006196656144043026,2014-08-15,ddos;slow internet
Data Breach,0.057289839822284576,2014-08-15,steal identity;hacker steal;security breach;data leak;data breach;icloud data;supervalu data breach;breach supervalu data;supervalu reports data breach;supervalu data;information steal
Account Hijacking,0.010639541681281423,2014-08-16,unauthorized access;hack account
DDoS Activity,0.005319770840640711,2014-08-16,slow internet;malicious activity;ddos
Data Breach,0.008125803811528118,2014-08-16,hacker steal;privacy breach;security breach;data leak;data breach;steal identity;supervalu data breach;supervalu breach;information steal
Account Hijacking,0.013796328773529756,2014-08-17,account hack;hack account
DDoS Activity,0.003858295334970186,2014-08-17,slow internet;malicious activity;vulnerability exploit;ntp ddos;ddos
Data Breach,0.006839705366538057,2014-08-17,steal identity;hack data breach;security breach;data leak;data breach;hacker steal;tailing breach;password steal
Account Hijacking,0.01519934525897346,2014-08-18,hack acct;hack account
DDoS Activity,0.00526131182041389,2014-08-18,ddos internet;ddos;slow internet;vulnerability exploit
Data Breach,0.03969367473401146,2014-08-18,icloud data;hacker steal data;hacker steal;security breach;supervalu data breach;data leak;data breach;information steal;steal identity;password steal
Account Hijacking,0.010113410499240033,2014-08-19,unauthorized access;hack account
DDoS Activity,0.005319770840640711,2014-08-19,slow internet;ntp ddos;ddos
Data Breach,0.01800537822986087,2014-08-19,hacker steal;steal identity;patient data breach;security breach;data leak;data breach;information steal;password steal
Account Hijacking,0.0,2014-08-20,-
DDoS Activity,0.0,2014-08-20,
Data Breach,0.0,2014-08-20,-
Account Hijacking,0.0,2014-08-21,-
DDoS Activity,0.0,2014-08-21,
Data Breach,0.0,2014-08-21,-
Account Hijacking,0.006605869285630773,2014-08-22,hack account
DDoS Activity,0.00350754121360926,2014-08-22,ddos;slow internet;phishing attack;network infiltrate
Data Breach,0.006372033204723489,2014-08-22,security breach;data leak;data breach;ups data breach;information steal;hacker steal;steal identity
Account Hijacking,0.8560738922015667,2014-08-23,hack gmail account;hack account;acct hack;twitter account hack;unauthorized access
DDoS Activity,0.003156787092248334,2014-08-23,slow internet;ddos;malicious activity
Data Breach,0.0043844265170115745,2014-08-23,hacker steal;security breach;data leak
Account Hijacking,0.8246813983397638,2014-08-24,hack acct;hack twitter account;hack account
DDoS Activity,0.05448380685139717,2014-08-24,ddos;hack ddos;i ddos;psn ddos;you ddos;be ddos;sony ddos;ddos me;it ddos;do you ddos sony;you do ddos sony psn;slow internet;network infiltrate
Data Breach,0.013679410733076113,2014-08-24,security breach;data leak;#finance security breach;data breach;hacker steal;#cybersecurity breach;information steal
Account Hijacking,0.011574886004910558,2014-08-25,hack account;unauthorized access
DDoS Activity,0.04039518297673331,2014-08-25,vulnerability exploit;slow internet;phishing attack;ddos hacker;ddos attack;psn ddos;lizard ddos;ddos;network infiltrate;malicious activity
Data Breach,0.006372033204723489,2014-08-25,security breach;data leak;data breach;information steal;hacker steal
Account Hijacking,0.014205541915117503,2014-08-26,hack account;unauthorized access
DDoS Activity,0.017537706068046298,2014-08-26,slow internet;phishing attack;vulnerability exploit;malicious activity;network infiltrate;psn ddos;ddos
Data Breach,0.0077750496901671925,2014-08-26,supervalu data breach;security breach;data leak;data breach;hacker steal;information steal;#cybersecurity breach
Account Hijacking,0.16391909271600608,2014-08-27,unauthorized access;hack gmail account;hack account
DDoS Activity,0.028528001870688647,2014-08-27,vulnerability exploit;twitch ddos;ddos;slow internet;malicious activity
Data Breach,0.009178066175610896,2014-08-27,hacker steal gigabyte;hacker steal;steal identity;security breach;data leak;data breach;privacy breach
Account Hijacking,0.010814918741961884,2014-08-28,unauthorized access;account hack;acct hack;hack account
DDoS Activity,0.008008885771074477,2014-08-28,vulnerability exploit;malicious activity;slow internet;phishing attack;homegrown ddos;ddos
Data Breach,0.03723839588448498,2014-08-28,airspace breach;hacker steal;steal identity;security breach;breach hipaa data;data leak;data breach;information steal;privacy breach
Account Hijacking,0.010931836782415527,2014-08-29,hack acct;hack account
DDoS Activity,0.0060212790833625626,2014-08-29,slow internet;phishing attack;ddos;malicious activity
Data Breach,0.011399508944230094,2014-08-29,#healthandsafety breach;information steal;hacker steal;data leak;security breach;data security breach;data breach;privacy breach
Account Hijacking,0.009528820296971822,2014-08-30,unauthorized access;hack account;account hack
DDoS Activity,0.006839705366538057,2014-08-30,slow internet;malicious activity;psn ddos;ddos;vulnerability exploit
Data Breach,0.004033672395650649,2014-08-30,hacker steal;information steal;steal identity;afp security breach;security breach;data leak;data breach
Account Hijacking,0.07617210335554776,2014-08-31,unauthorized access;account hack bank;someone hack bank account;hack account;hack acct;someone hack account
DDoS Activity,0.005962820063135742,2014-08-31,vulnerability exploit;slow internet;ddos
Data Breach,0.00175377060680463,2014-08-31,hacker steal;information steal;security breach;data leak
Account Hijacking,0.7415526715772244,2014-09-01,unauthorized access;hack account;icloud account hack;email account hack
DDoS Activity,0.006313574184496668,2014-09-01,ddos;malicious activity;phishing attack;slow internet
Data Breach,0.006898164386764878,2014-09-01,steal identity;information steal;hacker steal;security breach;data leak
Account Hijacking,0.021279083362562845,2014-09-02,unauthorized access;hack account
DDoS Activity,0.005319770840640711,2014-09-02,ddos;phishing attack;slow internet;vulnerability exploit;malicious activity
Data Breach,0.08704548111773647,2014-09-02,steal identity;icloud data breach;icloud security breach;icloud breach;hack icloud breach;celebrity icloud breach;information steal;hacker steal;security breach;data leak;data breach;breach data security;credit data breach;celebrity security breach;denies security breach;password steal
Account Hijacking,0.004501344557465217,2014-09-03,unauthorized access;hack account
DDoS Activity,0.0018706886472582718,2014-09-03,vulnerability exploit;ddos;slow internet
Data Breach,0.01818075529054133,2014-09-03,hacker steal;password steal;breach data security;security breach;data leak;data breach
Account Hijacking,0.012685607389220156,2014-09-04,hack account
DDoS Activity,0.008651934993569508,2014-09-04,vulnerability exploit;network infiltrate;slow internet;botnet ddos;ddos;malicious activity;phishing attack
